"","ds","Global_reactive_power","y","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh","Voltage","Global_intensity"
"1",2006-12-01,2890.264,697.103433333333,27.536,48.75,162.987,457.830433333333,241.440834697218,8.03096926713948
"2",2007-01-01,5922.962,1150.28716666667,56.433,79.274,329.611,684.969166666667,240.904831317204,6.54713261648746
"3",2007-02-01,4581.728,941.582966666667,47.584,64.604,270.308,559.086966666667,240.519177083333,5.91491071428571
"4",2007-03-01,5122.312,981.0429,60.769,104.762,290.361,525.1509,240.513524193548,5.57288978494624
"5",2007-04-01,4688.994,586.357766666667,42.078,38.417,189.503,316.359766666667,218.768398842593,3.49597685185185
"6",2007-05-01,5148.894,733.4812,75.737,72.132,229.448,356.1642,235.178363799283,4.29746415770609
"7",2007-06-01,6319.718,594.857966666667,59.673,69.944,188.902,276.338966666667,238.693115740741,3.60081481481481
"8",2007-07-01,5674.572,495.0886,43.052,55.733,154.825,241.4786,236.979012096774,2.93564964157706
"9",2007-08-01,5033.764,568.279166666667,36.251,49.713,225.442,256.873166666667,237.825370967742,3.31106630824373
"10",2007-09-01,5444.016,697.9979,52.841,75.279,226.409,343.4689,239.423948148148,4.17512962962963
"11",2007-10-01,4171.986,821.335433333333,43.218,87.914,256.08,434.123433333333,239.725907482079,4.67731630824373
"12",2007-11-01,4171.036,932.037366666667,50.825,73.666,299.708,507.838366666667,240.869308101852,5.44603703703704
"13",2007-12-01,4950.58,1210.0921,74.09,82.931,362.423,690.6481,241.725782258065,6.81952956989247
"14",2008-01-01,3908.746,1086.2306,61.761,62.912,312.192,649.3656,240.646174955197,6.18200716845878
"15",2008-02-01,3640.146,822.299666666667,40.231,56.646,255.97,469.452666666667,240.602727969349,4.97459291187739
"16",2008-03-01,4531.546,926.536633333333,63.11,79.278,279.688,504.460633333333,241.325358198925,5.23486559139785
"17",2008-04-01,5361.76,803.499866666667,47.08,70.871,295.678,389.870866666667,241.221191203704,4.69706018518518
"18",2008-05-01,6896.784,762.0826,53.084,58.911,290.622,359.4656,240.367737231183,4.3841935483871
"19",2008-06-01,6550.558,715.746533333333,68.728,63.449,290.103,293.466533333333,238.975215740741,4.30144444444444
"20",2008-07-01,6551.446,591.304966666667,47.313,44.416,227.228,272.347966666667,239.770800179211,3.46361559139785
"21",2008-08-01,5705.248,205.7401,3.873,22.264,79.685,99.9181,240.432992159498,1.26375448028674
"22",2008-09-01,5399.154,711.129866666667,52.376,44.59,284.282,329.881866666667,240.124580787037,4.21234722222222
"23",2008-10-01,4712.902,844.941,44.093,63.228,275.887,461.733,240.097869175627,4.79307795698925
"24",2008-11-01,4379.32,998.9172,58.067,55.927,280.735,604.1882,240.586004398148,5.86627777777778
"25",2008-12-01,4071.106,947.2592,45.109,39.459,307.364,555.3272,242.702720654122,5.29660394265233
"26",2009-01-01,4396.658,1049.25863333333,74.653,72.952,329.623,572.030633333333,243.792992607527,5.86746863799283
"27",2009-02-01,3858.294,837.080433333333,47.098,50.684,296.2,443.098433333333,242.025980902778,5.19235615079365
"28",2009-03-01,4657.866,912.787066666667,64.691,48.428,328.733,470.935066666667,242.303575044803,5.14950716845878
"29",2009-04-01,5315.22,821.2804,54.506,52.601,307.84,406.3334,241.633269212963,4.8164537037037
"30",2009-05-01,5338.542,753.5356,43.57,50.105,311.049,348.8116,240.118651433692,4.30004928315412
"31",2009-06-01,5429.5,559.033,31.362,29.801,259.969,237.901,222.601607638889,3.33176388888889
"32",2009-07-01,7488.954,459.932866666667,18.226,42.528,187.936,211.242866666667,242.017833557348,2.71056451612903
"33",2009-08-01,8243.432,484.606733333333,34.023,38.217,192.064,220.302733333333,236.454095206093,2.87616039426523
"34",2009-09-01,6648.46,710.5539,51.602,46.144,296.615,316.1929,241.146372222222,4.21288425925926
"35",2009-10-01,5866.822,851.489533333333,54.728,53.729,327.505,415.527533333333,240.894133064516,4.81868727598566
"36",2009-11-01,5474.026,917.843166666667,60.446,53.473,335.548,468.376166666667,241.946563888889,5.33410185185185
"37",2009-12-01,5792.428,1015.14603333333,57.801,53.492,383.945,519.908033333333,244.082222222222,5.66186379928315
"38",2010-01-01,5196.582,989.760333333333,53.887,56.568,395.949,483.356333333333,226.390517473118,5.52921594982079
"39",2010-02-01,4130.28,924.616866666667,49.27,53.592,411.733,410.021866666667,242.347905257937,5.7160119047619
"40",2010-03-01,5328.96,802.5983,35.089,60.872,324.352,382.2853,231.004854390681,4.51534498207885
"41",2010-04-01,5393.432,739.6411,38.196,36.476,336.092,328.8771,241.782743518519,4.30512962962963
"42",2010-05-01,5454.506,814.902833333333,48.108,52.376,364.626,349.792833333333,240.369261200717,4.63093189964158
"43",2010-06-01,6485.012,698.1245,65.747,47.679,306.952,277.7465,240.841895833333,4.16922685185185
"44",2010-07-01,7386.89,536.506766666667,17.704,34.359,192.912,291.531766666667,240.547928091398,3.13099462365591
"45",2010-08-01,4782.076,368.389566666667,12.499,26.983,160.189,168.718566666667,202.198516353047,2.14907258064516
"46",2010-09-01,4773.662,605.157066666667,36.865,32.508,257.861,277.923066666667,211.964682407407,3.57399074074074
"47",2010-10-01,6140.78,865.589966666667,48.199,60.252,315.67,441.468966666667,242.159308243728,4.8891353046595
"48",2010-11-01,4128.708,743.306466666667,46.162,42.282,247.113,407.749466666667,240.721887663366,5.05770871910474
